i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
26,1434.5349847238203,0.8934407775314437,0.0,451.1214118550434,0.4802924999967217,10,mac,phase-19,with
27,1455.9690940043993,0.9067901259023524,0.0,457.8618439417322,0.4874687919946154,10,mac,phase-19,with
28,1436.5572954868485,0.8947002901398989,0.0,451.7573724250831,0.4809695840012864,10,mac,phase-19,with
29,1432.2019249021291,0.8919877277255372,0.0,450.3877293363795,0.4795113750005839,10,mac,phase-19,with
0,310.5645000365186,0.0,0.0,62.906193325953055,0.0660357079977984,10,mac,phase-26,without
1,288.3742824692979,0.0,0.0,58.41146802391626,0.0613173750025453,10,mac,phase-26,without
2,321.0854574933501,0.0,0.0,65.037259122835,0.068272791999334,10,mac,phase-26,without
3,321.1442400366122,0.0,0.0,65.04916578322343,0.0682852910031215,10,mac,phase-26,without
4,320.22265380094257,0.0,0.0,64.86249447371847,0.0680893329990794,10,mac,phase-26,without
5,319.2936180922495,0.0,0.0,64.67431424097813,0.0678917910045129,10,mac,phase-26,without
6,321.08878720952856,0.0,0.0,65.03793357136217,0.0682735000009415,10,mac,phase-26,without
7,320.00827793597637,0.0,0.0,64.81907170774105,0.0680437499977415,10,mac,phase-26,without
8,320.43507321341815,0.0,0.0,64.90552095171516,0.0681344999975408,10,mac,phase-26,without
9,317.3079830296693,0.0,0.0,64.2721152030753,0.0674695830020937,10,mac,phase-26,without
10,320.68334814658476,0.0,0.0,64.95581012173277,0.0681872909990488,10,mac,phase-26,without
11,325.38888014404125,0.0,0.0,65.90893614063914,0.0691878340003313,10,mac,phase-26,without
12,295.5038000069898,0.0,0.0,59.85558288087539,0.0628333330023451,10,mac,phase-26,without
13,298.2466145543028,0.0,0.0,60.41115192418272,0.0634165410010609,10,mac,phase-26,without
14,342.3866146636323,0.0,0.0,69.35190136579169,0.0728020829992601,10,mac,phase-26,without
15,299.69944448734907,0.0,0.0,60.70542896044151,0.0637254579996806,10,mac,phase-26,without
16,292.9898605966174,0.0,0.0,59.34637349429057,0.0622987910028314,10,mac,phase-26,without
17,323.37110492136594,0.0,0.0,65.50022697320047,0.0687587919965153,10,mac,phase-26,without
18,316.76831626965384,0.0,0.0,64.16280334826533,0.0673548330014455,10,mac,phase-26,without
19,317.739678797144,0.0,0.0,64.35955706266829,0.0675613749990589,10,mac,phase-26,without
20,319.69611777139016,0.0,0.0,64.75584230560457,0.0679773750016465,10,mac,phase-26,without
21,322.2084863736894,0.0,0.0,65.26473351816657,0.068511582998326,10,mac,phase-26,without
22,322.89276972182176,0.0,0.0,65.40333809332657,0.0686570830002892,10,mac,phase-26,without
23,295.41542632084173,0.0,0.0,59.83768240549876,0.0628145419977954,10,mac,phase-26,without
24,322.6825089599613,0.0,0.0,65.36074885942217,0.068612374998338,10,mac,phase-26,without
25,322.5780652279843,0.0,0.0,65.33959332620877,0.0685901670003659,10,mac,phase-26,without
26,321.6707807541225,0.0,0.0,65.15581890090364,0.0683972499973606,10,mac,phase-26,without
27,318.3269632325836,0.0,0.0,64.4785140852151,0.0676862500040442,10,mac,phase-26,without
28,328.9750938995778,0.0,0.0,66.63533937020159,0.0699503750001895,10,mac,phase-26,without
29,307.251251832783,0.0,0.0,62.235080458846376,0.0653312079957686,10,mac,phase-26,without
0,1449.873693545792,2.9850735339496506,0.0,457.58829464803466,0.4850850830043782,10,mac,phase-26,with
1,1446.8429429029518,2.9788336707310705,0.0,456.63177269420214,0.484071083003073,10,mac,phase-26,with
2,1445.3750194454071,2.975811435427066,0.0,456.1684877924884,0.4835799590000533,10,mac,phase-26,with
3,1448.6709069635058,2.9825971758987695,0.0,457.208688435808,0.4846826659995713,10,mac,phase-26,with
4,1424.9465914698055,2.933752351272618,0.0,449.7211609933968,0.4767452079977374,10,mac,phase-26,with
5,1435.627076281973,2.955741875383908,0.0,453.0919820883445,0.4803185839991784,10,mac,phase-26,with
6,1435.801801738884,2.9561016090210206,0.0,453.14712642554815,0.4803770419966895,10,mac,phase-26,with
7,1442.0672958435391,2.969001326225478,0.0,455.1245516145416,0.4824732919951202,10,mac,phase-26,with
8,1432.9680678415166,2.9502673738756124,0.0,452.2527840649998,0.479428958002245,10,mac,phase-26,with
9,1439.1755293420624,2.9630476106098724,0.0,454.2118938376459,0.4815057919986429,10,mac,phase-26,with
10,1440.091377941359,2.964933206180738,0.0,454.5009408081327,0.4818122079959721,10,mac,phase-26,with
11,1451.3103619732328,2.988031419811643,0.0,458.0417152864073,0.4855657499938388,10,mac,phase-26,with
12,1443.4372101016247,2.97182177521617,0.0,455.5569042615079,0.4829316250034026,10,mac,phase-26,with
13,1434.084053598288,2.9525650219822253,0.0,452.6049954483539,0.4798023340044892,10,mac,phase-26,with
14,1439.517134404998,2.963750924448154,0.0,454.31970631737266,0.481620083002781,10,mac,phase-26,with
15,1430.940346220044,2.946092597704819,0.0,451.6128237133354,0.4787505420026718,10,mac,phase-26,with
16,1433.879062454506,2.952142975813154,0.0,452.5402990900995,0.4797337499985588,10,mac,phase-26,with
17,1434.991808233428,2.9544339532889583,0.0,452.8914879182164,0.4801060419995338,10,mac,phase-26,with
18,1440.5813104402628,2.965941904071051,0.0,454.6555662611387,0.4819761249964358,10,mac,phase-26,with
19,1442.6452755407934,2.9701913001557,0.0,455.30696525869905,0.4826666669978294,10,mac,phase-26,with
20,1445.466802782904,2.97600040361984,0.0,456.19745513017386,0.483610667004541,10,mac,phase-26,with
21,1448.1300405226957,2.981483612624223,0.0,457.0379879441829,0.4845017080006073,10,mac,phase-26,with
